Age,Cust_segment,Gender,Customer_status,Customer_year,Sale
64,High,M,Active,22,48542.78125
58,High,F,Active,22,52519.94922
51,High,F,Active,22,40812
18,High,F,Active,6,53922.57078
28,High,M,Active,19,97633.69719
59,High,M,Active,21,55886.82178
44,High,F,Active,5,20617.17961
60,High,M,Inactive,22,72216.64844
49,Low,M,Inactive,8,18865.17989
15,High,M,Active,9,58238.10953
43,High,F,Active,11,13056.16016
28,High,F,Active,8,78703.64063
56,High,M,Active,20,82371.53906
23,High,F,Active,13,68593.48125
30,High,F,Active,6,59754.98
32,Low,F,Active,11,88112.77246
65,Low,M,Active,16,83781.2207
43,High,F,Inactive,21,87223.3999
28,High,F,Active,10,81153.9375
35,High,M,Active,18,45461.51
39,Low,F,Active,19,130081.8906
66,Low,F,Active,17,16957.7793
34,High,M,Active,19,39297.05151
47,High,F,Active,10,69502.74
35,High,F,Active,12,56365.02366
26,Low,F,Active,7,31126.66016
14,High,M,Active,4,50424.14063
42,High,F,Active,5,77661.16406
19,High,F,Active,1,16266.81012
54,High,M,Active,16,45833.60059
23,High,M,Active,12,82046.2522
41,High,F,Inactive,7,62209.42816
37,High,M,Active,13,56849.65076
47,High,F,Active,15,27198.74963
34,High,F,Active,16,71509.61
42,Low,F,Active,19,91174.32813
43,High,F,Active,20,124364.42
45,Low,F,Active,15,54433.71094
39,High,F,Active,5,27431
56,Low,M,Active,21,92139.89032
22,High,M,Active,18,78537.04
31,High,F,Active,11,132920.9184
33,High,F,Active,20,7439.859531
35,High,M,Active,14,34089.03906
35,Low,M,Active,9,55796.73047
39,High,M,Active,5,22471.72094
48,High,F,Active,22,153929.1392
26,High,M,Active,8,19521.29047
41,Low,F,Active,8,80053.11786
46,Low,M,Active,20,29018
35,Low,M,Active,3,59069.27666
34,High,M,Active,17,61246.67188
47,High,F,Active,10,59643.24023
37,High,M,Inactive,22,29703.41895
31,High,M,Active,19,57553.38141
35,High,F,Active,15,82567.09312
52,High,F,Active,7,6892.589844
32,High,M,Active,4,28273.97949
28,High,F,Active,5,33616.83008
34,High,F,Inactive,17,25048.49976
29,High,F,Active,17,90550.67969
12,High,M,Active,2,61435.25049
34,Low,F,Active,14,66133.79883
45,High,M,Active,20,17739.92061
65,Low,M,Active,8,94785.51843
34,High,M,Active,8,82632.17725
13,High,F,Active,1,19517.83008
22,High,M,Active,3,16410.37036
57,Low,F,Active,22,91941.11111
28,Low,M,Active,10,22140.48047
65,High,M,Active,22,24007.10938
33,High,M,Active,8,90726.4
35,High,F,Active,10,54984.40918
30,High,M,Active,4,41479.41141
16,High,M,Active,2,59005.93
37,High,F,Active,20,23798.37922
39,High,M,Inactive,10,23272.60906
46,High,M,Active,16,55654.17188
52,Low,F,Active,8,97477.11719
21,High,M,Active,11,20592.83008
32,High,M,Active,12,22044.12915
24,High,F,Active,16,66164.5625
59,High,M,Active,20,95582.32313
19,Low,F,Active,3,45614.63141
41,High,M,Active,21,27234.17992
55,Low,M,Active,14,19225.55005
31,Low,F,Active,10,32002.19906
13,High,F,Active,10,59773.28906
24,High,F,Active,8,80304.93
37,Low,F,Active,21,57177.53027
35,High,M,Active,21,43724.03
42,High,M,Active,7,16441.47986
32,High,F,Active,12,12123.7395
14,High,F,Active,7,55162.75
50,High,F,Active,4,90373.79218
36,High,F,Active,7,37130.26953
48,High,F,Active,7,25794.81958
57,High,F,Active,21,26939.02094
47,High,F,Active,1,92506.02979
42,High,F,Active,16,56848.70902
37,Low,M,Active,8,23639.36914
24,High,M,Active,14,76554.07938
40,Low,M,Inactive,22,68424.72
53,High,F,Inactive,19,55826.99092
28,Low,M,Active,8,32545.31055
34,High,M,Active,14,66920.35
24,High,F,Active,4,85716.88965
48,Low,M,Active,13,52211.60156
71,Low,F,Inactive,21,63415.03125
24,High,M,Active,14,37563.11015
48,High,F,Active,5,43395.15966
15,High,F,Active,5,67010.87811
34,High,M,Active,7,50222.87891
52,High,F,Active,15,103139.6
49,High,F,Active,6,21016.00977
56,Low,M,Active,8,32757.33
13,High,M,Active,10,48999.25971
38,Low,M,Active,16,20906.90009
24,High,F,Active,7,21559.53027
67,High,M,Active,20,96851.44
37,High,F,Active,12,14392.40937
32,High,F,Active,10,23689.02002
24,High,M,Active,2,8368.630348
14,High,F,Active,3,28769.32992
49,High,F,Active,14,20447.08032
45,High,F,Active,7,98640.96875
36,High,F,Active,8,81336.32856
49,High,M,Active,20,10130.62988
39,High,F,Active,10,55841.32813
38,High,F,Active,17,44674.17859
17,High,F,Active,4,74687.67908
41,High,F,Active,20,56771.67188
24,High,F,Active,7,33400.70039
39,Low,F,Active,12,78089.56995
37,High,F,Active,22,74720.66992
32,High,F,Active,9,8765.069962
13,High,F,Active,4,79656.23877
39,High,F,Active,20,29188.93047
22,High,F,Active,13,28713.74054
17,High,F,Active,3,14380.86035
30,High,F,Active,6,18693.86084
24,High,F,Active,10,53980.6709
13,High,F,Active,5,13069.10007
55,Low,M,Active,21,94208.96219
49,Low,M,Inactive,23,10394.63
37,High,M,Active,8,77019.37378
21,High,F,Active,4,85353.88281
26,High,M,Active,4,33142.47086
11,High,F,Active,10,21437.72
32,High,F,Active,10,62953.02344
43,Low,F,Active,18,68918.67871
32,High,F,Active,14,57505.10156
29,High,F,Active,2,38436.66992
42,High,F,Active,10,24332
11,High,M,Active,7,26394.71023
37,Low,M,Active,6,11480.20996
34,High,M,Active,17,33484.04
67,High,F,Inactive,20,12578.15039
41,Low,M,Active,15,79196.53223
34,High,F,Active,11,70780.51953
33,High,F,Active,14,108531.8672
54,High,M,Active,12,46285.55859
51,Low,F,Active,4,31588.86939
49,High,F,Active,4,78368.89648
15,High,F,Active,3,46570.11
46,High,M,Active,13,46480.30859
34,High,M,Active,5,15983.84961
63,High,F,Inactive,9,35270.87
16,High,M,Active,10,12996.16016
43,High,M,Active,19,61701.14125
23,High,F,Active,8,77944.53
23,Low,M,Active,12,115401.06
23,High,M,Active,4,77968.0531
20,High,M,Active,5,25157.04981
55,Low,F,Active,22,75631.32031
54,High,F,Active,20,27160.83008
29,High,F,Active,6,53389.8
25,High,M,Active,4,9196.120117
68,High,M,Active,8,51819.07813
29,High,F,Active,13,63955.77944
20,High,F,Active,5,79344.64063
46,Low,M,Active,19,19995.64002
30,High,M,Active,2,11668.72
44,High,F,Active,21,59806.51172
23,High,M,Active,2,16106.46973
22,High,M,Active,9,73998.46094
21,Low,M,Active,10,26999.1
25,High,F,Active,7,112140.73
48,High,M,Active,6,74241.33276
34,Low,F,Active,11,47584.82037
18,High,M,Active,4,71409.71875
59,Low,M,Active,11,44355.46
44,High,M,Active,15,93736.63
44,High,M,Active,4,16934.18018
33,High,M,Active,8,71106.0625
14,High,M,Active,7,95984.83939
26,High,F,Active,5,85168.01
31,High,F,Active,7,62612.98816
46,High,M,Active,19,54318.26156
79,High,M,Inactive,20,24961.18047
23,High,M,Inactive,12,13943.50047
39,Low,M,Active,12,159483.417
36,Low,M,Active,2,33068.65
55,High,F,Active,20,52066.24031
28,High,F,Active,17,68533.18859
47,High,F,Active,4,78035.93
37,High,F,,9,57282.99141
39,Low,F,Active,22,98354.34302
54,High,M,Active,22,46450.47
34,Low,F,Active,22,89943.23001
34,Low,F,Active,10,14619.36
33,High,F,Active,10,15706.15
33,Low,F,Active,13,36023.21875
59,Low,F,Active,9,152763.2627
18,High,M,Active,16,62086.86909
25,High,F,Active,9,35542.3501
15,High,F,Active,5,155354.1313
31,High,F,Active,13,36539
17,High,F,Active,5,47583.57129
46,Low,M,Active,22,59688.43063
46,Low,M,Active,19,14054.34961
38,Low,M,Active,3,19312.16047
47,Low,F,Inactive,10,83307.96997
23,High,M,Active,11,18335.36914
30,High,M,Active,2,90104.78201
36,Low,M,Active,7,53041.71875
26,High,M,Active,6,70880.17003
39,High,M,Active,21,60871.23078
26,Low,F,Active,5,52333.28027
63,Low,M,Active,13,132795.11
31,High,M,Active,8,28961.05078
48,High,M,Inactive,22,24445
30,High,F,Active,7,34561.18938
28,High,F,Active,18,98087.00781
51,High,F,Active,20,90144.95313
19,High,F,Active,5,45957.66174
36,High,F,Active,14,64055.1878
33,Low,F,Active,7,39612.61888
32,High,M,Inactive,16,15851.63
48,Low,F,Active,21,60361.00873
44,High,F,Active,21,28036.80078
20,High,M,Active,10,30897.84
67,High,M,Inactive,6,62132.51
51,High,M,Active,21,17661.07031
45,High,F,Active,11,43630.33
31,High,F,Active,21,85644.47168
38,High,F,Active,11,56111.20996
27,High,M,Active,17,107071.0132
21,High,F,Active,19,25607.41016
36,Low,M,Active,8,49987.42188
19,Low,F,Active,8,22775.78945
52,Low,M,Active,20,67171.13965
30,High,F,Active,13,40360.41956
21,High,F,Active,8,19793.23047
40,High,M,Active,21,142328.9231
40,High,F,Active,20,49148.5
31,High,F,Active,13,71877.39
39,High,M,Active,10,54849.48047
40,High,F,Active,21,97427.56262
33,High,F,Active,7,46427.16
39,High,F,Active,23,59119.87109
43,High,M,Inactive,20,71169.84766
23,High,M,Active,10,13300.08031
38,High,M,Active,21,93158.14258
38,High,F,Active,19,95883.20252
38,High,F,Active,20,37994.20117
46,High,F,Active,22,37894.45947
22,High,F,Active,10,24210.58008
27,High,M,Active,16,49714.28906
41,High,M,Active,22,45131.03125
43,High,F,Active,4,16333.14031
24,High,M,Active,5,59431.60156
41,High,M,Active,15,19896.04922
51,Low,M,Inactive,22,12344.15039
27,High,F,Active,7,13490.88977
34,High,F,Active,18,27892.57031
44,High,F,Active,4,36346.27062
47,High,M,Active,20,22763.00031
39,High,F,Active,21,47184.08
30,High,F,Active,9,55543.78125
49,High,M,Active,22,78404.42188
26,High,F,Active,8,157867.2813
32,High,F,Inactive,15,33195.98047
31,Low,F,Active,3,87086.58106
30,Low,M,Active,12,39368.93066
44,High,F,Active,20,93928.6875
59,High,M,Active,21,103428.3906
31,High,F,Active,6,60132.98047
33,High,F,Active,14,69949.00024
24,High,M,Active,8,84048.48242
32,High,M,Active,12,57931.67124
53,High,M,Active,21,67299.04688
32,High,F,Active,9,31810.55906
40,High,F,Active,19,35969.52014
14,High,M,Active,2,51368.29981
17,Low,M,Active,8,12253.75
25,Low,M,Active,12,75902.11719
56,High,F,Active,7,32068.01953
28,High,M,Active,16,71763.90625
39,High,M,Active,17,83823.96094
26,High,F,Active,11,76197.7
36,Low,F,Active,13,87047.20898
42,Low,M,Active,18,74735.85156
41,High,F,Active,9,81171.11719
23,High,F,Active,7,39530.94898
49,High,F,Active,18,37719.60938
65,High,F,Active,21,72033.05188
38,High,F,Active,7,64624.89844
37,Low,F,Active,12,67818.54094
38,High,M,Active,20,43208.10181
57,Low,F,Active,16,119235.6563
59,High,F,Inactive,22,71754.0408
55,Low,F,Active,22,93647.22656
43,Low,F,Active,14,46312.33984
40,High,F,Active,20,16004.76953
57,Low,F,Active,20,40028.41016
43,High,M,Active,7,38449.23969
33,High,M,Active,9,22207.75977
43,High,M,Active,16,22788.75916
36,High,M,Active,11,70716.71094
12,High,F,Active,6,25668
32,High,M,Active,4,18136.92969
33,Low,M,Active,17,102428.9766
28,High,M,Active,9,130981.9063
,Low,M,Active,5,16541.54981
13,High,F,Active,2,21018.25977
50,High,M,Active,10,24202.26953
42,High,M,Active,19,60555.71922
44,High,M,Active,6,30510.13
45,High,F,Active,10,55766.98047
49,High,M,Active,9,85289.17188
27,High,F,Active,19,47312.88031
37,High,F,Inactive,12,32219.79
34,Low,F,Active,11,75600.1182
67,High,F,Active,18,55445.60156
42,High,F,Active,17,20988.07031
39,High,F,Active,5,30188.44969
59,Low,M,Active,9,93715.34312
28,High,F,Active,10,30539.61914
22,High,M,Active,13,83892.33203
50,Low,M,Active,20,100109.0016
25,High,M,Active,19,93633.96875
31,High,F,Active,8,27410.18
27,High,M,Active,3,14602.6496
23,High,M,Active,6,12446.08008
21,Low,F,Active,14,37729.27033
33,High,M,Active,15,26613.2207
35,High,F,Active,2,11326.46973
35,High,F,Active,8,8866
38,High,M,Active,11,89362.03125
59,High,M,Active,11,70966.17656
25,High,F,Active,14,45692.69984
35,High,F,Active,10,33265.12012
16,High,F,Active,11,27598.00992
42,Low,F,Active,12,77498.40234
26,High,F,Active,6,73367.10156
49,High,M,Active,11,53746.9707
20,High,F,Active,6,14585.98999
26,High,M,Active,5,85572.35938
37,High,M,Active,7,45009.99
34,High,F,Active,10,13352.11957
30,High,Male,Active,22,21073.81982
27,High,F,Active,2,153287.9297
33,High,F,Active,11,21606.42945
23,Low,F,Active,8,65091.67175
58,Low,F,Active,20,87984.0719
54,Low,F,Active,7,61220.94922
47,High,F,Active,10,55959.9082
39,High,F,Active,15,22799.96973
49,Low,M,Inactive,22,47901.87109
25,High,M,Active,10,93350.27344
42,Low,M,Active,21,144784.0586
32,High,F,Active,9,86021.15
30,High,M,Active,8,65325.02002
54,High,F,Active,6,78120.91211
42,High,M,Active,15,47856
42,High,M,Active,6,93752.58008
47,High,M,Active,20,50570.85938
21,High,F,Active,6,49426.67188
59,High,F,Inactive,9,88665.11914
55,Low,F,Active,17,51819.26
36,High,F,Active,10,92062.11281
27,High,F,Active,2,51989.08984
28,High,F,Active,7,96158.57221
61,Low,M,Active,8,40726.44141
45,Low,F,Active,9,18438.11047
39,High,F,Active,18,13684.10938
26,High,F,Active,9,81030.9
28,High,F,Active,20,24338.24086
44,Low,M,Active,6,60313.93128
22,High,F,Active,15,8804.030029
41,High,M,Active,21,34291.61867
31,High,M,Active,7,86760.91891
66,High,F,Inactive,21,91469.89063
42,High,F,Inactive,22,13287.58008
65,Low,F,Active,22,14147.08008
16,Low,M,Active,3,48645.22125
37,High,F,Active,9,57765.02016
13,High,M,Active,5,34176.2793
31,High,F,Active,9,32593.97
15,High,F,Active,12,87498.85
24,High,F,Active,15,49779.64819
34,High,F,Active,12,75532.76
19,High,M,Active,7,13105
19,High,F,Active,6,80389.77625
24,High,F,Active,2,42136.05
11,High,M,Active,1,32764.55859
36,High,F,Active,12,70005.54688
27,High,F,Active,15,15438.12988
40,High,F,Active,10,89063.88281
37,High,F,Active,7,87837.20898
35,High,F,Active,7,39816.87953
38,High,F,Active,10,52507.20996
49,High,M,Active,9,27106.21086
32,High,M,Inactive,7,12673.34998
38,High,M,Active,21,59677.87109
40,Low,F,Active,20,38262.55078
48,High,M,Active,19,43396.78125
22,High,M,Active,1,47440.51
49,Low,F,Active,16,30247.44984
59,Low,M,Active,19,25787.40039
21,Low,F,Active,7,60121.03125
37,High,F,Active,16,40877.69922
15,High,M,Active,3,28474.75
27,High,F,Active,3,73102.35217
22,High,F,Active,17,14707.92969
47,Low,F,Active,12,36814.13021
32,High,F,Active,4,27151.01078
24,High,F,Active,4,6956.560469
24,High,M,Active,4,11510.62008
51,Low,F,Active,8,58735.29153
45,High,F,Active,11,50793.43
25,High,F,Active,6,35446.73047
31,High,F,Active,5,29696.03906
34,High,M,Active,18,85133.24219
26,High,F,Active,14,69769.75
25,Low,M,Active,10,51648.25
58,Low,M,Active,22,114058.4609
59,High,F,Inactive,20,19766.08984
46,High,F,Active,22,5195.629883
61,Low,M,Active,22,62746.23047
39,High,F,Active,14,13575.20957
39,High,F,Active,7,66095.44922
47,High,F,Active,4,59652.01172
25,High,M,Active,4,66276.31055
52,Low,F,Active,13,68615.6294
42,High,F,Active,22,29519.7207
59,High,M,Inactive,22,61985.69922
35,High,M,Active,21,65766.70898
32,Low,M,Active,13,29700.10938
43,High,M,Inactive,8,13538.70996
38,High,M,Active,6,18889.16016
25,High,F,Active,8,97879.83984
20,High,M,Active,4,19112.86992
49,High,M,Active,21,15315.38965
36,Low,M,Active,7,23218.32922
39,High,F,Active,9,80124.3789
34,High,F,Inactive,18,62472.79828
57,High,F,Active,18,23503.0293
30,High,F,Active,3,12101.05957
26,High,F,Active,6,29500.09
62,Low,M,Active,20,27203.25977
48,High,M,Active,4,55943.42
27,High,M,Active,3,67954.00781
46,High,M,Active,22,34565.2395
32,High,F,Active,16,68651.67934
39,High,F,Active,4,5421.530273
13,High,F,Active,2,141862.6919
26,High,F,Active,9,36870.85844
49,High,M,Active,18,17493.0293
73,High,F,Active,22,28370.76953
42,High,F,Active,18,40263.5293
23,High,M,Active,15,10304.66003
68,Low,M,Active,5,24635.25
49,Low,F,Inactive,17,61053.12
52,High,F,Active,15,25512.81982
22,High,F,Active,8,15639.41007
39,High,F,Active,3,88601.45691
55,High,F,Active,3,35105.61055
24,Low,F,Active,5,36495.69006
37,High,F,Active,19,73598.27
25,High,F,Active,1,57528.78076
48,High,M,Active,5,33076.19106
27,High,M,Active,18,87781.17969
28,High,F,Active,12,85376.79688
33,High,F,Active,4,31423.50086
34,High,F,Active,15,46478.2786
29,High,M,Active,16,30070
37,Low,F,Active,22,78824.16016
29,High,F,Active,10,22333.26025
35,High,F,Active,4,18728.43951
42,High,F,Active,21,44838.50879
24,High,F,Active,9,36379.89
50,High,M,Active,11,27102.2393
33,High,F,Active,12,32800.41961
35,High,M,Active,13,49729.56934
42,High,M,Inactive,22,57793.86
25,High,F,Active,13,58610.53
22,High,M,Active,21,86402.23
14,High,F,Active,11,43240.28125
48,High,M,Active,20,96916.10156
46,Low,F,Active,14,46523.71891
17,High,F,Active,10,20710.91
46,High,F,Active,4,24019
30,High,M,Active,20,76892.20117
32,High,F,Active,15,93464.58203
53,Low,M,Active,21,36631.88
32,High,F,Active,8,8127.660233
37,High,M,Active,7,72099.00781
39,High,F,Active,3,21499.79034
27,Low,F,Active,14,52875.98
44,High,M,Inactive,5,78558.86719
38,High,F,Active,13,24583.11052
37,Low,M,Active,21,57561.87891
48,High,F,Inactive,11,8035.87
13,High,F,Active,6,15786.22063
48,Low,M,Active,22,57381.81836
28,High,F,Active,9,42091.13892
39,High,M,Active,18,13119.91992
27,High,F,Active,19,42346.78076
68,Low,M,Inactive,20,69149.55859
38,High,M,Active,6,20135.13914
29,Low,M,Active,5,84220.75158
23,High,F,Active,2,12760.06
52,High,F,Active,19,39829.36084
47,High,M,Active,15,77938.05078
25,High,F,Active,7,66013.66875
22,High,F,Active,12,23355.52
36,High,F,Active,8,114744.9272
48,Low,M,Inactive,13,89778.32617
28,High,F,Active,5,21162.43994
36,High,M,Active,22,36529.53875
26,High,F,Active,8,69391.34961
24,High,F,Active,7,124253.02
47,High,F,Active,19,35143.52914
28,High,F,Active,8,76361.37647
,High,M,Active,9,97174.24
24,High,F,Active,12,36076.33106
19,High,F,Active,13,57738.78906
33,High,F,Active,13,159038.24
39,High,F,Active,9,80208.81937
43,High,F,Active,7,78745.13281
56,High,F,Inactive,7,17153.88
50,High,F,Inactive,20,51588.57959
64,High,M,Active,20,77100.35
73,High,M,Active,20,110893.8677
34,High,F,Active,8,153044.8438
49,High,F,Active,17,151937.1482
37,High,F,Active,21,25343.09946
24,Low,F,Active,18,30529.54935
53,Low,F,Active,15,84077.05656
38,High,M,Active,21,11311.65953
30,High,F,Active,20,39250.95996
42,High,F,Active,8,14082.13
48,High,M,Active,18,75289.29688
32,High,M,Active,4,17145.72945
57,Low,M,Inactive,20,57427.60156
46,High,F,Active,14,10810.96973
33,High,F,Active,15,59516
31,High,F,Active,5,28532.44
14,High,M,Active,4,81029.13887
36,High,F,Active,9,24881.06055
48,High,M,Active,7,49173.57996
40,High,M,Active,11,18786.81055
57,Low,M,Active,6,74959.1528
69,High,F,Active,11,143763.18
47,High,M,Active,16,23839.99023
43,High,M,Active,21,86532.12305
48,High,F,Inactive,20,26590.12012
54,Low,M,Inactive,20,39877.54999
32,High,M,Inactive,22,20220.94922
34,High,M,Active,5,18597.80945
39,Low,M,Active,17,57118.12891
31,Low,M,Active,17,36187.11
55,High,F,Active,21,26567.08008
33,High,F,Active,6,22964.76046
41,High,F,Active,22,23699.88086
21,Low,F,Active,19,98147.09766
28,High,M,Active,13,15164.5
23,High,F,Active,9,52106.1192
64,High,M,Active,20,46142.35
38,Low,F,Active,18,7845.4
62,Low,M,Active,22,18558.6499
52,High,M,Active,24,97189.84961
25,High,M,Active,4,10208.94043
22,High,M,Active,18,84261.55287
24,High,M,Active,3,33277.57001
37,Low,F,Inactive,20,17208.50906
21,High,M,Active,6,47622.60815
18,High,F,Active,2,25422.62
38,High,F,Active,6,35964.48047
33,High,M,Active,17,31937.99
22,Low,M,Active,19,153795.4025
53,High,M,Active,9,135785.0916
13,High,F,Active,2,86052.70898
22,High,F,Inactive,15,29029.36914
43,High,F,Active,10,21751.78906
54,Low,F,Active,21,27394.49002
46,High,M,Active,16,33017.9
47,Low,M,Active,11,101774.9727
33,High,M,Active,3,27152.42969
