customer_id,Age,Occupation,Location,Status,Income,Car Segment,Car_Type,Flag_Customer_NPL
1100000091,26,Self Employee,Central,Single,11188,Eco Car,Used Car,0
1100000092,48,Salary,Central,Married,133010,Eco Car,New Car,0
1100000093,31,Farmer,South,Married,56209,Pickup,Used Car,0
1100000094,22,Salary,North,Single,16793,Luxury,Used Car,0
1100000095,19,Farmer,South,Single,15410,Pickup,Used Car,0
1100000096,29,Farmer,North-east,Married,13651,Luxury,Used Car,1
1100000097,23,Farmer,North-east,Single,15712,Luxury,Used Car,0
1100000098,33,Self Employee,North,Single,56650,Eco Car,Used Car,0
1100000099,31,Self Employee,Central,Single,59945,Pickup,New Car,0
1100000100,31,Farmer,South,Married,71902,Pickup,New Car,0
1100000101,20,Self Employee,Central,Single,14763,Pickup,Used Car,0
1100000102,23,Farmer,North,Married,17215,Eco Car,Used Car,0
1100000103,30,Farmer,North-east,Single,45462,Pickup,Used Car,0
1100000104,36,Salary,North-east,Single,25005,SUV,Used Car,1
1100000105,36,Farmer,North-east,Single,47837,Luxury,New Car,1
1100000106,20,Salary,Central,Single,14543,Pickup,New Car,0
1100000107,33,Salary,Central,Married,39636,Eco Car,Used Car,0
1100000108,19,Farmer,Central,Married,15397,Pickup,Used Car,0
1100000109,36,Salary,North-east,Single,39224,Pickup,Used Car,0
1100000110,17,Salary,North-east,Single,14884,SUV,Used Car,0
1100000111,29,Farmer,Central,Single,13957,Pickup,Used Car,0
1100000112,32,Self Employee,North-east,Single,47412,SUV,Used Car,0
1100000113,34,Farmer,South,Single,46599,Pickup,New Car,0
1100000114,42,Salary,North,Married,51894,Eco Car,Used Car,0
1100000115,27,Salary,South,Single,13860,Pickup,Used Car,0
1100000116,34,Salary,North,Single,68473,Eco Car,New Car,0
1100000117,39,Salary,North-east,Single,31382,Pickup,Used Car,0
1100000118,19,Farmer,Central,Single,15954,SUV,New Car,0
1100000119,32,Farmer,North,Single,58615,Pickup,Used Car,0
1100000120,48,Salary,Central,Single,137832,Pickup,New Car,0
1100000121,38,Farmer,Central,Single,41864,Eco Car,New Car,0
1100000122,42,Farmer,North-east,Single,88516,Luxury,Used Car,0
1100000123,31,Farmer,North-east,Married,71728,Pickup,Used Car,0
1100000124,32,Salary,North-east,Single,66320,Eco Car,Used Car,0
1100000125,31,Self Employee,North,Single,69142,Luxury,New Car,1
1100000126,25,Farmer,South,Single,10275,SUV,New Car,0
1100000127,31,Salary,North,Single,72507,SUV,New Car,1
1100000128,38,Farmer,Central,Single,65369,SUV,Used Car,0
1100000129,41,Farmer,North,Single,77221,Eco Car,Used Car,0
1100000130,27,Farmer,North-east,Single,16498,Pickup,Used Car,0
1100000131,19,Farmer,North-east,Single,15176,Eco Car,Used Car,0
1100000132,20,Salary,Central,Married,15152,Pickup,New Car,0
1100000133,38,Salary,Central,Married,26459,Eco Car,Used Car,0
1100000134,28,Salary,North,Single,10873,SUV,New Car,1
1100000135,29,Farmer,Central,Married,19121,Eco Car,Used Car,0
1100000136,34,Self Employee,North-east,Single,65283,SUV,Used Car,0
1100000137,25,Farmer,North-east,Single,14155,Pickup,Used Car,0
1100000138,26,Self Employee,North-east,Single,12654,SUV,Used Car,1
1100000139,42,Salary,Central,Single,144561,Luxury,Used Car,0
1100000140,28,Farmer,North-east,Married,13617,Eco Car,Used Car,0
1100000141,27,Salary,Central,Married,10414,Pickup,Used Car,0
1100000142,36,Self Employee,North-east,Married,60666,SUV,New Car,0
1100000143,41,Salary,North,Married,130090,Pickup,Used Car,0
1100000144,29,Self Employee,Central,Married,10710,Pickup,Used Car,0
1100000145,27,Salary,Central,Single,13808,SUV,New Car,0
1100000146,28,Farmer,North,Married,12445,Pickup,New Car,0
1100000147,35,Salary,Central,Single,72650,SUV,New Car,1
1100000148,33,Salary,Central,Married,69817,Eco Car,Used Car,0
1100000149,24,Farmer,North-east,Married,17126,Eco Car,New Car,0
1100000150,37,Farmer,Central,Married,32055,Pickup,New Car,0
1100000151,30,Salary,Central,Single,47672,SUV,Used Car,1
1100000152,30,Self Employee,Central,Single,52689,Pickup,New Car,0
1100000153,33,Salary,North,Married,59561,Eco Car,New Car,0
1100000154,39,Farmer,North-east,Single,47591,Pickup,Used Car,0
1100000155,32,Salary,North,Single,27912,SUV,Used Car,1
1100000156,23,Salary,North-east,Married,16600,Pickup,Used Car,0
1100000157,28,Farmer,North-east,Married,17400,Luxury,Used Car,1
1100000158,24,Self Employee,North,Single,12558,SUV,New Car,1
1100000159,32,Salary,North-east,Single,35422,Eco Car,Used Car,0
1100000160,36,Farmer,South,Single,37720,Luxury,Used Car,1
1100000161,27,Farmer,North,Single,15630,Pickup,New Car,0
1100000162,33,Farmer,Central,Married,32135,Pickup,New Car,0
1100000163,35,Self Employee,North,Single,26614,Pickup,Used Car,0
1100000164,44,Salary,Central,Single,106774,Pickup,New Car,0
1100000165,25,Self Employee,North,Single,17996,Eco Car,New Car,0
1100000166,20,Salary,North-east,Single,14545,Pickup,New Car,0
1100000167,20,Farmer,North-east,Married,14221,Eco Car,New Car,0
1100000168,32,Self Employee,South,Married,26930,Eco Car,Used Car,0
1100000169,34,Farmer,Central,Married,51112,Eco Car,New Car,0
1100000170,33,Salary,Central,Single,61553,SUV,Used Car,0
1100000171,23,Farmer,North-east,Single,12931,Eco Car,New Car,0
1100000172,29,Farmer,North-east,Married,13662,Eco Car,New Car,0
1100000173,25,Self Employee,Central,Married,17661,Luxury,New Car,1
1100000174,24,Salary,South,Married,16186,Eco Car,Used Car,0
1100000175,21,Farmer,Central,Married,12476,Pickup,Used Car,0
1100000176,25,Salary,North,Single,17406,Eco Car,New Car,0
1100000177,27,Farmer,North-east,Single,12546,Pickup,New Car,0
1100000178,28,Farmer,Central,Single,14596,SUV,Used Car,0
1100000179,27,Farmer,Central,Single,14738,Eco Car,Used Car,0
1100000180,34,Farmer,North,Married,74898,Eco Car,Used Car,0
1100000181,20,Salary,North-east,Married,14923,Eco Car,New Car,0
1100000182,37,Salary,North,Married,60238,Pickup,Used Car,0
1100000183,24,Farmer,Central,Single,18319,Eco Car,New Car,0
1100000184,26,Farmer,North-east,Single,17951,Luxury,Used Car,1
1100000185,35,Self Employee,South,Married,38013,SUV,Used Car,1
1100000186,31,Salary,Central,Single,72780,Pickup,Used Car,0
1100000187,26,Salary,North-east,Single,16182,SUV,New Car,1
1100000188,20,Salary,North-east,Single,15355,Eco Car,Used Car,0
1100000189,25,Salary,South,Single,10908,Eco Car,Used Car,0
1100000190,33,Salary,North-east,Married,47114,SUV,Used Car,1
1100000191,14,Salary,Central,Married,14075,Eco Car,Used Car,0
1100000192,31,Salary,South,Married,62590,SUV,Used Car,0
1100000193,49,Salary,South,Single,75315,Pickup,New Car,0
1100000194,25,Salary,North-east,Single,10164,Pickup,Used Car,0
1100000195,37,Self Employee,North,Married,64008,Eco Car,Used Car,0
1100000196,22,Salary,Central,Married,13771,Pickup,New Car,0
1100000197,16,Farmer,South,Married,15144,Pickup,New Car,0
1100000198,36,Self Employee,North,Married,33389,Pickup,Used Car,0
1100000199,17,Self Employee,Central,Married,15878,Eco Car,Used Car,0
1100000200,35,Salary,Central,Married,53003,Eco Car,New Car,0
1100000201,26,Farmer,Central,Single,12128,SUV,New Car,0
1100000202,26,Salary,North-east,Single,10342,Pickup,Used Car,0
1100000203,36,Farmer,Central,Single,46791,Eco Car,Used Car,0
1100000204,34,Farmer,Central,Single,53001,Eco Car,New Car,0
1100000205,36,Self Employee,Central,Single,73191,Pickup,Used Car,0
1100000206,13,Salary,Central,Married,14848,Eco Car,New Car,0
1100000207,30,Salary,Central,Married,45455,Pickup,Used Car,0
1100000208,24,Farmer,North-east,Single,19304,Eco Car,Used Car,0
1100000209,27,Salary,South,Married,19567,Eco Car,Used Car,0
1100000210,28,Salary,North-east,Married,17181,Eco Car,New Car,0
1100000211,29,Salary,South,Single,18100,Eco Car,New Car,0
1100000212,33,Salary,North,Single,25487,Luxury,New Car,1
1100000213,26,Farmer,North-east,Single,15651,Eco Car,Used Car,0
1100000214,19,Self Employee,Central,Single,15593,Pickup,Used Car,0
1100000215,21,Self Employee,Central,Single,17394,Pickup,Used Car,0
1100000216,42,Salary,North-east,Married,67044,Eco Car,Used Car,0
1100000217,26,Farmer,Central,Single,11621,Pickup,Used Car,0
1100000218,36,Self Employee,North-east,Single,64853,Eco Car,Used Car,0
1100000219,45,Salary,Central,Single,121806,Eco Car,Used Car,0
1100000220,47,Farmer,North,Married,97260,Pickup,Used Car,0
1100000221,31,Self Employee,North-east,Single,50589,SUV,Used Car,0
1100000222,23,Farmer,North,Married,19702,Pickup,New Car,0
1100000223,26,Farmer,Central,Married,19246,Luxury,Used Car,1
1100000224,24,Farmer,South,Single,19680,SUV,New Car,0
1100000225,38,Farmer,Central,Single,60388,Luxury,New Car,0
1100000226,23,Farmer,South,Single,10273,SUV,New Car,1
1100000227,40,Farmer,North-east,Single,96209,Eco Car,Used Car,0
1100000228,31,Salary,Central,Single,45371,SUV,New Car,0
1100000229,22,Farmer,North-east,Married,12846,Eco Car,Used Car,0
1100000230,22,Salary,South,Married,18174,SUV,Used Car,1
1100000231,26,Self Employee,North,Married,11600,SUV,New Car,1
1100000232,31,Farmer,North,Married,68277,SUV,Used Car,0
1100000233,30,Farmer,North-east,Single,45524,SUV,Used Car,0
1100000234,26,Salary,North-east,Married,13300,Pickup,New Car,0
1100000235,24,Self Employee,Central,Married,15691,SUV,Used Car,1
1100000236,43,Farmer,South,Married,115933,SUV,Used Car,0
1100000237,24,Salary,North-east,Single,16623,SUV,New Car,0
1100000238,24,Salary,South,Single,17632,Pickup,New Car,0
1100000239,15,Salary,North-east,Single,15938,Eco Car,Used Car,0
1100000240,22,Salary,North-east,Single,16963,Eco Car,New Car,0
1100000241,45,Self Employee,South,Single,102024,Luxury,New Car,0
1100000242,21,Salary,North-east,Single,16651,Eco Car,New Car,0
1100000243,29,Salary,North,Single,10690,Luxury,Used Car,1
1100000244,30,Salary,North-east,Married,45653,SUV,Used Car,1
1100000245,37,Self Employee,North,Married,71116,Eco Car,Used Car,0
1100000246,23,Self Employee,Central,Single,15516,Pickup,Used Car,0
1100000247,30,Farmer,North-east,Married,54814,Eco Car,Used Car,0
1100000248,23,Farmer,Central,Married,14253,Pickup,Used Car,0
1100000249,24,Salary,North,Single,16384,Pickup,Used Car,0
1100000250,33,Farmer,North-east,Married,38401,Eco Car,Used Car,0
1100000251,30,Farmer,North-east,Single,50087,Eco Car,New Car,0
1100000252,27,Farmer,North-east,Single,11183,Eco Car,New Car,0
1100000253,31,Salary,North-east,Single,34976,Pickup,New Car,0
1100000254,27,Farmer,North,Married,19244,Pickup,Used Car,0
1100000255,36,Farmer,Central,Single,44797,SUV,New Car,1
1100000256,42,Salary,South,Married,52030,Eco Car,New Car,0
1100000257,39,Salary,North,Single,30161,Eco Car,Used Car,0
1100000258,39,Salary,Central,Single,43971,Pickup,Used Car,0
1100000259,37,Farmer,Central,Married,56493,Eco Car,Used Car,0
1100000260,41,Salary,North-east,Single,106758,Pickup,Used Car,0
1100000261,31,Farmer,North,Married,36074,SUV,New Car,1
1100000262,41,Self Employee,North-east,Single,76115,Eco Car,Used Car,0
1100000263,33,Farmer,North-east,Single,62458,Pickup,New Car,0
1100000264,36,Farmer,North,Single,29512,Eco Car,Used Car,0
1100000265,23,Salary,Central,Single,15911,Eco Car,New Car,0
1100000266,24,Farmer,North-east,Single,14689,Pickup,New Car,0
1100000267,29,Salary,North-east,Single,10969,Luxury,Used Car,0
1100000268,36,Salary,North-east,Single,34495,Eco Car,Used Car,0
1100000269,19,Self Employee,North-east,Single,15156,Eco Car,New Car,0
1100000270,17,Salary,North-east,Married,15060,Eco Car,Used Car,0
1100000271,25,Self Employee,North-east,Single,12470,Eco Car,New Car,0
1100000272,32,Salary,North-east,Single,57332,Pickup,New Car,0
1100000273,24,Farmer,Central,Single,19984,Eco Car,New Car,0
1100000274,36,Self Employee,North,Married,36728,Eco Car,Used Car,0
1100000275,30,Farmer,North,Married,52087,Pickup,New Car,0
1100000276,16,Self Employee,North-east,Married,14277,Pickup,Used Car,0
1100000277,32,Farmer,North-east,Married,60139,Pickup,Used Car,0
1100000278,26,Farmer,North,Single,12122,Eco Car,Used Car,0
1100000279,29,Salary,South,Single,19772,SUV,Used Car,0
1100000280,42,Farmer,North-east,Single,139569,Eco Car,New Car,0
1100000281,22,Salary,South,Single,19219,SUV,New Car,0
1100000282,43,Farmer,Central,Single,98994,Eco Car,Used Car,0
1100000283,33,Self Employee,South,Married,36572,Eco Car,New Car,0
1100000284,25,Salary,North-east,Single,15917,Pickup,New Car,0
1100000285,23,Farmer,North-east,Single,10122,Eco Car,Used Car,0
1100000286,25,Farmer,Central,Single,13498,Luxury,New Car,1
1100000287,23,Farmer,North-east,Married,13000,SUV,Used Car,0
1100000288,47,Farmer,North,Married,108265,Pickup,Used Car,0
1100000289,24,Farmer,Central,Single,18171,Pickup,Used Car,0
1100000290,49,Salary,North-east,Single,104624,Pickup,New Car,0
1100000291,25,Salary,North,Married,18329,Pickup,New Car,0
1100000292,28,Farmer,North-east,Married,11544,SUV,New Car,1
1100000293,27,Salary,Central,Single,15974,Eco Car,Used Car,0
1100000294,29,Salary,North,Single,13242,SUV,New Car,1
1100000295,36,Farmer,North-east,Married,60920,Luxury,Used Car,0
1100000296,27,Farmer,Central,Single,13118,Pickup,Used Car,0
1100000297,27,Farmer,North-east,Single,11084,SUV,Used Car,0
1100000298,39,Farmer,Central,Single,46423,Eco Car,New Car,0
1100000299,32,Salary,Central,Single,29726,Eco Car,Used Car,0
1100000300,28,Salary,North-east,Single,16827,Luxury,New Car,1
1100000301,22,Farmer,Central,Married,19369,Pickup,Used Car,0
1100000302,43,Farmer,North,Married,95265,Luxury,Used Car,0
1100000303,38,Salary,Central,Married,33312,Eco Car,Used Car,0
1100000304,29,Farmer,Central,Single,14641,SUV,New Car,0
1100000305,42,Salary,Central,Single,62671,Luxury,Used Car,0
1100000306,39,Salary,South,Single,66471,Eco Car,Used Car,0
1100000307,30,Farmer,South,Married,52709,Eco Car,Used Car,0
1100000308,26,Salary,North-east,Single,15340,SUV,Used Car,0
1100000309,28,Farmer,North-east,Single,11958,Pickup,Used Car,0
1100000310,25,Self Employee,Central,Married,11319,Eco Car,New Car,0
1100000311,32,Self Employee,South,Single,68721,Eco Car,Used Car,0
1100000312,35,Salary,Central,Married,56122,Eco Car,New Car,0
1100000313,22,Farmer,North-east,Single,15551,Eco Car,New Car,0
1100000314,30,Farmer,North-east,Single,48422,Eco Car,Used Car,0
1100000315,29,Farmer,North,Married,18530,Eco Car,Used Car,0
1100000316,33,Farmer,South,Single,30877,SUV,New Car,0
1100000317,31,Farmer,North-east,Single,72435,Eco Car,Used Car,0
1100000318,30,Self Employee,North,Married,52460,SUV,Used Car,0
1100000319,30,Salary,North-east,Married,48691,Pickup,Used Car,0
1100000320,24,Farmer,South,Single,15431,Eco Car,Used Car,0
1100000321,22,Farmer,North,Single,16908,SUV,New Car,1
1100000322,36,Farmer,North-east,Married,64096,Eco Car,New Car,0
1100000323,37,Salary,North-east,Single,49991,Eco Car,New Car,0
1100000324,23,Salary,South,Single,15959,Pickup,New Car,0
1100000325,38,Salary,South,Single,49629,Luxury,Used Car,1
1100000326,23,Farmer,North-east,Single,19433,Eco Car,Used Car,0
1100000327,33,Salary,Central,Single,56762,Eco Car,New Car,0
1100000328,17,Farmer,North-east,Single,15782,SUV,Used Car,0
1100000329,15,Farmer,North-east,Single,14361,Pickup,Used Car,0
1100000330,28,Salary,Central,Single,17289,SUV,New Car,1
1100000331,32,Salary,North,Single,71357,Pickup,Used Car,0
1100000332,23,Self Employee,Central,Married,11270,Pickup,Used Car,0
1100000333,18,Farmer,Central,Single,15391,Luxury,New Car,0
1100000334,32,Salary,South,Married,26142,Luxury,New Car,1
1100000335,22,Salary,South,Single,17695,Eco Car,Used Car,0
1100000336,32,Salary,North-east,Married,42361,Eco Car,Used Car,0
1100000337,16,Salary,North-east,Single,15289,Pickup,Used Car,0
1100000338,27,Farmer,North-east,Single,13794,SUV,Used Car,0
1100000339,32,Salary,North-east,Single,48655,Luxury,Used Car,1
1100000340,35,Salary,Central,Single,59611,SUV,Used Car,0
1100000341,18,Salary,North,Married,14672,Eco Car,Used Car,0
1100000342,30,Salary,Central,Single,46559,Eco Car,New Car,0
1100000343,40,Farmer,North-east,Single,112814,Eco Car,Used Car,0
1100000344,27,Farmer,Central,Single,10030,Eco Car,Used Car,0
1100000345,40,Salary,North-east,Single,124238,SUV,Used Car,0
1100000346,35,Salary,Central,Married,56100,Pickup,Used Car,0
1100000347,35,Farmer,North,Single,39115,Pickup,Used Car,0
1100000348,22,Salary,Central,Single,14225,Luxury,New Car,1
1100000349,35,Farmer,North-east,Single,27340,Eco Car,New Car,0
1100000350,33,Farmer,North-east,Single,67522,Eco Car,Used Car,0
1100000351,37,Farmer,North-east,Single,29244,Pickup,Used Car,0
1100000352,20,Farmer,Central,Married,15005,Eco Car,Used Car,0
1100000353,29,Farmer,Central,Married,15092,Pickup,Used Car,0
1100000354,24,Salary,Central,Single,17195,Pickup,Used Car,0
1100000355,25,Salary,South,Married,19055,SUV,Used Car,0
1100000356,36,Farmer,North-east,Single,29721,Eco Car,New Car,0
1100000357,26,Salary,North,Married,15444,Pickup,Used Car,0
1100000358,24,Salary,Central,Married,12762,Eco Car,New Car,0
1100000359,23,Salary,North-east,Married,17826,Pickup,Used Car,0
1100000360,32,Salary,North-east,Single,28460,Eco Car,Used Car,0
1100000361,25,Salary,Central,Married,19505,Pickup,Used Car,0
1100000362,28,Farmer,North-east,Married,15478,Pickup,New Car,0
1100000363,43,Self Employee,Central,Single,110954,SUV,Used Car,0
1100000364,25,Farmer,South,Single,13986,Eco Car,Used Car,0
1100000365,26,Self Employee,North-east,Single,11534,Eco Car,New Car,0
1100000366,29,Farmer,Central,Married,13507,Luxury,Used Car,0
1100000367,46,Self Employee,Central,Single,115001,Eco Car,New Car,0
1100000368,36,Salary,North-east,Married,41076,SUV,New Car,0
1100000369,19,Salary,North,Married,15679,Eco Car,Used Car,0
1100000370,29,Self Employee,Central,Married,11041,Eco Car,Used Car,0
1100000371,28,Salary,North,Single,19144,SUV,Used Car,1
1100000372,32,Farmer,North,Single,59803,Eco Car,Used Car,0
1100000373,38,Farmer,North-east,Married,50003,Eco Car,New Car,0
1100000374,29,Salary,Central,Single,16944,SUV,Used Car,0
1100000375,32,Salary,North-east,Single,47482,Eco Car,Used Car,0
1100000376,36,Salary,Central,Single,26969,SUV,Used Car,0
1100000377,38,Self Employee,Central,Married,68405,Luxury,Used Car,0
1100000378,36,Self Employee,North,Single,45993,Eco Car,Used Car,0
1100000379,29,Salary,Central,Married,15883,Luxury,New Car,0
1100000380,27,Salary,South,Single,14002,Luxury,New Car,0
1100000381,19,Farmer,South,Single,15856,Eco Car,Used Car,0
1100000382,29,Farmer,Central,Married,15545,Eco Car,Used Car,0
1100000383,26,Farmer,North-east,Married,15243,Eco Car,Used Car,0
1100000384,28,Self Employee,South,Married,18934,Eco Car,Used Car,0
1100000385,26,Salary,Central,Single,10399,Eco Car,New Car,0
1100000386,18,Salary,North-east,Married,14204,Eco Car,Used Car,0
1100000387,39,Salary,Central,Married,48435,Eco Car,Used Car,0
1100000388,22,Farmer,North,Married,10026,Eco Car,Used Car,0
1100000389,25,Salary,South,Single,13556,Eco Car,Used Car,0
1100000390,32,Salary,North-east,Single,67027,SUV,Used Car,0
1100000391,33,Salary,Central,Single,60188,Pickup,Used Car,0
1100000392,40,Farmer,Central,Single,120019,Pickup,Used Car,0
1100000393,28,Self Employee,North-east,Married,19097,Eco Car,New Car,0
1100000394,25,Farmer,North,Single,13120,Eco Car,Used Car,0
1100000395,26,Salary,North,Single,13534,Eco Car,New Car,0
1100000396,40,Farmer,North,Married,82105,Eco Car,Used Car,0
1100000397,30,Salary,Central,Single,50369,SUV,Used Car,0
1100000398,27,Farmer,South,Married,13844,Eco Car,New Car,0
1100000399,30,Self Employee,Central,Married,51757,SUV,Used Car,0
1100000400,27,Farmer,North-east,Single,11958,Pickup,Used Car,0
1100000401,43,Farmer,North-east,Single,54731,SUV,New Car,0
1100000402,21,Self Employee,South,Single,10188,SUV,New Car,1
1100000403,41,Farmer,North-east,Married,145022,Pickup,Used Car,0
1100000404,32,Salary,North-east,Single,37040,Eco Car,Used Car,0
1100000405,29,Self Employee,South,Married,10380,Pickup,New Car,0
1100000406,33,Salary,Central,Single,25122,SUV,New Car,0
1100000407,24,Self Employee,Central,Single,16258,Eco Car,Used Car,0
1100000408,26,Salary,North,Single,15597,SUV,Used Car,1
1100000409,30,Salary,North-east,Single,48760,Eco Car,Used Car,0
1100000410,38,Self Employee,North-east,Single,43022,Pickup,Used Car,0
1100000411,34,Farmer,North-east,Single,53532,Pickup,New Car,0
1100000412,28,Salary,North,Married,14254,Eco Car,Used Car,0
1100000413,27,Self Employee,North,Married,11548,Pickup,Used Car,0
1100000414,34,Salary,South,Married,46697,Pickup,Used Car,0
1100000415,20,Farmer,Central,Single,15473,Pickup,Used Car,0
1100000416,19,Farmer,North,Single,15908,Luxury,New Car,1
1100000417,33,Salary,North-east,Single,48768,Luxury,Used Car,1
1100000418,26,Salary,North,Single,18488,Pickup,New Car,0
1100000419,32,Farmer,North-east,Married,50744,Eco Car,Used Car,0
1100000420,24,Salary,South,Single,19927,Eco Car,Used Car,0
1100000421,23,Salary,South,Married,12842,Pickup,Used Car,0
1100000422,22,Salary,North,Married,17525,SUV,New Car,0
1100000423,33,Salary,North,Single,64969,Eco Car,Used Car,0
1100000424,33,Salary,North-east,Single,66435,SUV,New Car,1
1100000425,23,Salary,Central,Married,19029,Pickup,New Car,0
1100000426,27,Self Employee,North-east,Single,19198,Eco Car,New Car,0
